Calculated expected belief state
0.00538 | 0.00672 | 0.01875 | 0.01948 | 0.02266 | 0.01702 | 0.01136 | 0.01066 | 0.00730 | 0.00748 | 
======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | 
0.00000 | 0.00000 | 0.00000 | 0.00967 | 0.01163 | 0.01293 | 0.00582 | 0.00531 | 0.00542 | 0.00768 | 
======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | 
0.03289 | 0.00000 | 0.01733 | 0.02045 | 0.02610 | 0.01783 | 0.00000 | 0.00000 | 0.00515 | 0.01072 | 
======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | 
0.06095 | 0.01146 | 0.01630 | 0.03044 | 0.02503 | 0.02108 | 0.00947 | 0.00000 | 0.00495 | 0.01051 | 
======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | 
0.09654 | 0.00247 | 0.02349 | 0.01254 | 0.01218 | 0.01496 | 0.00783 | 0.00558 | 0.00462 | 0.00734 | 
======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | 
0.03835 | 0.00213 | 0.00328 | 0.00234 | 0.00000 | 0.00926 | 0.01154 | 0.01381 | 0.00865 | 0.00763 | 
======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | 

Updated Belief state
0.00373 | 0.00466 | 0.01301 | 0.01351 | 0.01572 | 0.01181 | 0.00788 | 0.00740 | 0.00506 | 0.00519 | 
======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | 
0.00000 | 0.00000 | 0.00000 | 0.00671 | 0.00807 | 0.00897 | 0.00403 | 0.00368 | 0.00376 | 0.00533 | 
======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | 
0.02281 | 0.00000 | 0.01202 | 0.01419 | 0.01811 | 0.01237 | 0.00000 | 0.00000 | 0.00357 | 0.00744 | 
======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | 
0.04228 | 0.00795 | 0.01131 | 0.02112 | 0.01736 | 0.01463 | 0.00657 | 0.00000 | 0.00343 | 0.00729 | 
======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | 
0.37953 | 0.00971 | 0.01630 | 0.00870 | 0.00845 | 0.01038 | 0.00543 | 0.00387 | 0.00321 | 0.00509 | 
======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | 
0.15076 | 0.00838 | 0.00228 | 0.00162 | 0.00000 | 0.00642 | 0.00801 | 0.00958 | 0.00600 | 0.00530 | 
======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | ======= | 

